SKU,Producto,Marca,EAN,Imagen_URL,Fuente,Pagina_URL
0006852,OXIGENTA ALFAPARFx1000ml VOL 10,ALFAPARF,8022297160849,https://www.barbersalon.com/media/catalog/product/cache/c68e9bbb2d73eded5f4972f8e568886c/a/l/alfaparf-oxid-10vol-33.82oz.jpg,busqueda web (exacta),https://www.barbersalon.com/hair-salon/alfaparf-oxid-o-stabilized-peroxide-cream-10-volume-33-81-oz.html
0017210,SERUM CAPILAR ALFAPARFx50ml LISSE DESIGN ELI,ALFAPARF,8022297141442,https://www.tiendadelabelleza.co/cdn/shop/files/KeratinTherapyLisseDesignAceiteTheOilAlfaparfMilanoTecItalyTiendadelaBelleza.png?v=1734753079,busqueda web (exacta),https://www.tiendadelabelleza.co/products/keratin-therapy-lisse-design-aceite-the-oil-alfaparf-milano
0023353,TERMOPROTECTOR ALFAPARFx300ml STYLE CARE,ALFAPARF,8022297141558,https://cdn.shopify.com/s/files/1/0844/3861/4342/files/AL0155.png?v=1738255241,busqueda web (exacta),https://www.justmylook.com/products/alfaparf-milano-semi-di-lino-style-care-thermal-protector-300ml
0025163,TINTE ALFAPARFx60ml SHINE 7.66,ALFAPARF,8022297186566,https://bellpro.cl/wp-content/uploads/2026/01/11785.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-7-66-60ml/
0025164,TINTE ALFAPARFx60ml SHINE 6.66,ALFAPARF,8022297186559,https://bellpro.cl/wp-content/uploads/2026/01/11784-1.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-6-66-60ml/
0025165,TINTE ALFAPARFx60ml SHINE 5.66,ALFAPARF,8022297186542,https://bellpro.cl/wp-content/uploads/2026/01/11783.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-5-66-60ml/
0025166,TINTE ALFAPARFx60ml SHINE 4.66,ALFAPARF,8022297186535,https://bellpro.cl/wp-content/uploads/2026/01/11782.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-4-66-60ml/
0025167,TINTE ALFAPARFx60ml SHINE 6.64,ALFAPARF,8022297186528,https://bellpro.cl/wp-content/uploads/2026/01/11781.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-6-64-60ml/
0025168,TINTE ALFAPARFx60ml SHINE 5.53,ALFAPARF,8022297186511,https://bellpro.cl/wp-content/uploads/2026/01/11806.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-5-53-60ml/
0025169,TINTE ALFAPARFx60ml SHINE 8.51,ALFAPARF,8022297186504,https://bellpro.cl/wp-content/uploads/2026/01/11809.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-8-51-60ml/
0025170,TINTE ALFAPARFx60ml SHINE 6.51,ALFAPARF,8022297186498,https://bellpro.cl/wp-content/uploads/2026/01/11808.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-6-51-60ml/
0025171,TINTE ALFAPARFx60ml SHINE 7.5,ALFAPARF,8022297186481,https://bellpro.cl/wp-content/uploads/2026/01/11814.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-7-5-60ml/
0025172,TINTE ALFAPARFx60ml SHINE 6.5,ALFAPARF,8022297186474,https://bellpro.cl/wp-content/uploads/2026/01/11813.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-6-5-60ml/
0025173,TINTE ALFAPARFx60ml SHINE 4.5,ALFAPARF,8022297186467,https://bellpro.cl/wp-content/uploads/2026/01/11812-2.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-4-5-60ml/
0025174,TINTE ALFAPARFx60ml SHINE 7.46,ALFAPARF,8022297186450,https://bellpro.cl/wp-content/uploads/2026/01/11815.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-7-46-60ml/
0025175,TINTE ALFAPARFx60ml SHINE 8.4,ALFAPARF,8022297186443,https://bellpro.cl/wp-content/uploads/2026/01/11780.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-8-4-60ml/
0025176,TINTE ALFAPARFx60ml SHINE 7.3,ALFAPARF,8022297186412,https://bellpro.cl/wp-content/uploads/2026/01/11787.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-7-3-60ml/
0025177,TINTE ALFAPARFx60ml SHINE 9.3,ALFAPARF,8022297186436,https://cdn.shopify.com/s/files/1/1120/1136/files/9.3_Alfaparf_Milano_Evolution_Of_The_Color_Shine_Effect_Permanent_Color_60ml.png?v=1778174680,"busqueda web (exacta) REVISAR (solo muestra de color, sin empaque)",https://www.kiyobeauty.com/products/alfaparf-milano-evolution-of-the-color-shine-effect-permanent-color-60ml
0025178,TINTE ALFAPARFx60ml SHINE 8.3,ALFAPARF,8022297186429,https://bellpro.cl/wp-content/uploads/2026/01/11788.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-8-3-60ml/
0025179,TINTE ALFAPARFx60ml SHINE 6.3,ALFAPARF,8022297186405,https://bellpro.cl/wp-content/uploads/2026/01/11786.png,busqueda web (exacta),https://bellpro.cl/producto/alfaparf-evolution-shine-effect-6-3-60ml/
0025180,TINTE ALFAPARFx60ml SHINE 9.13,ALFAPARF,8022297186399,https://cdn.shopify.com/s/files/1/1120/1136/files/9.13_Alfaparf_Milano_Evolution_Of_The_Color_Shine_Effect_Permanent_Color_60ml.png?v=1778174707,"busqueda web (exacta) REVISAR (solo muestra de color, sin empaque)",https://www.kiyobeauty.com/products/alfaparf-milano-evolution-of-the-color-shine-effect-permanent-color-60ml
